[Gene ID]	[Organism]	[Genomic Location]	[Product Description]	
CNAG_03068	C. neoformans var. grubii H99	CneoH99_Chr03: 66,912 - 67,939 (+)	conserved hypothetical protein 	
CNAG_03069	C. neoformans var. grubii H99	CneoH99_Chr03: 65,593 - 66,242 (-)	hydrolase 	
CNAG_03070	C. neoformans var. grubii H99	CneoH99_Chr03: 63,099 - 64,711 (-)	histone lysine N-methyltransferase 	
CNAG_03071	C. neoformans var. grubii H99	CneoH99_Chr03: 61,057 - 62,943 (-)	conserved hypothetical protein 	
CNAG_03072	C. neoformans var. grubii H99	CneoH99_Chr03: 58,118 - 60,315 (-)	phosphopyruvate hydratase 	
CNAG_03073	C. neoformans var. grubii H99	CneoH99_Chr03: 56,952 - 57,741 (+)	predicted protein 	
CNAG_03075	C. neoformans var. grubii H99	CneoH99_Chr03: 51,793 - 53,768 (-)	conserved hypothetical protein 	
CNAG_03076	C. neoformans var. grubii H99	CneoH99_Chr03: 49,771 - 51,530 (-)	predicted protein 	
CNAG_03077	C. neoformans var. grubii H99	CneoH99_Chr03: 47,657 - 48,623 (-)	predicted protein 	
CNAG_03078	C. neoformans var. grubii H99	CneoH99_Chr03: 45,395 - 47,529 (+)	type I phosphodiesterase/nucleotide pyrophosphatase family protein 	
CNAG_03079	C. neoformans var. grubii H99	CneoH99_Chr03: 43,644 - 45,058 (-)	CAB2 protein 	
CNAG_03080	C. neoformans var. grubii H99	CneoH99_Chr03: 41,310 - 42,980 (+)	fatty acid elongase 	
CNAG_03081	C. neoformans var. grubii H99	CneoH99_Chr03: 38,003 - 40,211 (-)	RNA helicase 	
CNAG_03082	C. neoformans var. grubii H99	CneoH99_Chr03: 37,090 - 37,659 (+)	cupin domain-containing protein 	
CNAG_03083	C. neoformans var. grubii H99	CneoH99_Chr03: 36,010 - 36,576 (+)	cupin domain-containing protein 	
CNAG_03084	C. neoformans var. grubii H99	CneoH99_Chr08: 13,769 - 14,323 (-)	endoribonuclease L-PSP 	
CNAG_03085	C. neoformans var. grubii H99	CneoH99_Chr08: 15,320 - 15,848 (+)	predicted protein 	
CNAG_03086	C. neoformans var. grubii H99	CneoH99_Chr08: 16,360 - 18,636 (+)	predicted protein 	
CNAG_03087	C. neoformans var. grubii H99	CneoH99_Chr08: 19,161 - 21,243 (-)	maltose permease 	
CNAG_03090	C. neoformans var. grubii H99	CneoH99_Chr08: 24,519 - 26,505 (-)	conserved hypothetical protein 	
CNAG_03091	C. neoformans var. grubii H99	CneoH99_Chr08: 28,052 - 29,426 (-)	predicted protein 	
CNAG_03092	C. neoformans var. grubii H99	CneoH99_Chr08: 30,227 - 32,238 (-)	conserved hypothetical protein 	
CNAG_03095	C. neoformans var. grubii H99	CneoH99_Chr08: 37,464 - 38,218 (-)	conserved hypothetical protein 	
CNAG_03096	C. neoformans var. grubii H99	CneoH99_Chr08: 38,748 - 39,838 (-)	UDP-glucose 4-epimerase 	
CNAG_03097	C. neoformans var. grubii H99	CneoH99_Chr08: 40,914 - 42,571 (+)	conserved hypothetical protein 	
CNAG_03098	C. neoformans var. grubii H99	CneoH99_Chr08: 43,312 - 44,262 (+)	conserved hypothetical protein 	
CNAG_03099	C. neoformans var. grubii H99	CneoH99_Chr08: 45,014 - 49,057 (-)	chitin synthase 1 	
CNAG_03100	C. neoformans var. grubii H99	CneoH99_Chr08: 49,676 - 53,555 (+)	cytoplasmic protein 	
CNAG_03101	C. neoformans var. grubii H99	CneoH99_Chr08: 54,135 - 56,107 (-)	efflux protein EncT 	
CNAG_03102	C. neoformans var. grubii H99	CneoH99_Chr08: 57,102 - 58,893 (-)	conserved hypothetical protein 	
CNAG_03103	C. neoformans var. grubii H99	CneoH99_Chr08: 58,978 - 61,734 (+)	ubiquitin-protein ligase 	
CNAG_03104	C. neoformans var. grubii H99	CneoH99_Chr08: 62,035 - 62,928 (-)	conserved hypothetical protein 	
CNAG_03105	C. neoformans var. grubii H99	CneoH99_Chr08: 63,836 - 64,348 (-)	predicted protein 	
CNAG_03106	C. neoformans var. grubii H99	CneoH99_Chr08: 64,794 - 65,951 (-)	conserved hypothetical protein 	
CNAG_03107	C. neoformans var. grubii H99	CneoH99_Chr08: 66,187 - 67,029 (-)	conserved hypothetical protein 	
CNAG_03108	C. neoformans var. grubii H99	CneoH99_Chr08: 68,241 - 70,227 (-)	conserved hypothetical protein 	
CNAG_03109	C. neoformans var. grubii H99	CneoH99_Chr08: 70,422 - 72,485 (+)	ubiquitin carboxyl-terminal hydrolase 6 	
CNAG_03110	C. neoformans var. grubii H99	CneoH99_Chr08: 73,240 - 76,607 (+)	conserved hypothetical protein 	
CNAG_03111	C. neoformans var. grubii H99	CneoH99_Chr08: 77,398 - 78,324 (+)	conserved hypothetical protein 	
CNAG_03112	C. neoformans var. grubii H99	CneoH99_Chr08: 78,359 - 80,100 (+)	predicted protein 	
CNAG_03113	C. neoformans var. grubii H99	CneoH99_Chr08: 80,177 - 83,337 (-)	trehalose synthase 	
CNAG_03114	C. neoformans var. grubii H99	CneoH99_Chr08: 83,650 - 84,585 (+)	conserved hypothetical protein 	
CNAG_03115	C. neoformans var. grubii H99	CneoH99_Chr08: 85,097 - 87,498 (+)	conserved hypothetical protein 	
CNAG_03116	C. neoformans var. grubii H99	CneoH99_Chr08: 93,764 - 96,479 (+)	forkhead transcription factor 3 	
CNAG_03117	C. neoformans var. grubii H99	CneoH99_Chr08: 97,494 - 102,289 (-)	conserved hypothetical protein 	
CNAG_03118	C. neoformans var. grubii H99	CneoH99_Chr08: 102,679 - 104,152 (+)	conserved hypothetical protein 	
CNAG_03119	C. neoformans var. grubii H99	CneoH99_Chr08: 104,460 - 105,606 (-)	predicted protein 	
CNAG_03120	C. neoformans var. grubii H99	CneoH99_Chr08: 106,153 - 114,132 (-)	alpha-1,3-glucan synthase 	
CNAG_03121	C. neoformans var. grubii H99	CneoH99_Chr08: 115,374 - 120,122 (+)	conserved hypothetical protein 	
CNAG_03122	C. neoformans var. grubii H99	CneoH99_Chr08: 121,107 - 121,700 (-)	predicted protein 	
CNAG_03123	C. neoformans var. grubii H99	CneoH99_Chr08: 123,256 - 123,890 (+)	conserved hypothetical protein 	
CNAG_03124	C. neoformans var. grubii H99	CneoH99_Chr08: 124,377 - 127,350 (-)	WD repeat protein 	
CNAG_03125	C. neoformans var. grubii H99	CneoH99_Chr08: 127,699 - 129,946 (+)	conserved hypothetical protein 	
CNAG_03126	C. neoformans var. grubii H99	CneoH99_Chr08: 129,552 - 131,002 (-)	hypothetical protein 	
CNAG_03127	C. neoformans var. grubii H99	CneoH99_Chr08: 131,784 - 132,518 (+)	40s ribosomal protein s23 	
CNAG_03128	C. neoformans var. grubii H99	CneoH99_Chr08: 133,960 - 136,399 (+)	lincomycin-condensing protein lmbA 	
CNAG_03129	C. neoformans var. grubii H99	CneoH99_Chr08: 136,638 - 138,512 (-)	transcription factor iiia 	
CNAG_03130	C. neoformans var. grubii H99	CneoH99_Chr08: 138,800 - 139,677 (+)	signal transducer 	
CNAG_03132	C. neoformans var. grubii H99	CneoH99_Chr08: 142,819 - 144,006 (+)	predicted protein 	
CNAG_03133	C. neoformans var. grubii H99	CneoH99_Chr08: 144,413 - 147,837 (-)	UDP-glucose,sterol transferase 	
CNAG_03134	C. neoformans var. grubii H99	CneoH99_Chr08: 149,205 - 150,402 (-)	3-hydroxybutyryl-CoA dehydrogenase 	
CNAG_03135	C. neoformans var. grubii H99	CneoH99_Chr08: 151,540 - 154,074 (+)	DUF803 domain membrane protein 	
CNAG_03136	C. neoformans var. grubii H99	CneoH99_Chr08: 154,782 - 156,973 (-)	conserved hypothetical protein 	
CNAG_03137	C. neoformans var. grubii H99	CneoH99_Chr08: 158,997 - 160,652 (-)	STE/STE11 protein kinase 	
CNAG_03138	C. neoformans var. grubii H99	CneoH99_Chr08: 160,959 - 164,161 (-)	ubiquitin-protein ligase 	
CNAG_03139	C. neoformans var. grubii H99	CneoH99_Chr08: 164,551 - 168,469 (+)	phosphatidylethanolamine N-methyltransferase 	
CNAG_03140	C. neoformans var. grubii H99	CneoH99_Chr08: 168,692 - 171,317 (-)	sugar transporter 	
CNAG_03141	C. neoformans var. grubii H99	CneoH99_Chr08: 171,633 - 172,358 (-)	conserved hypothetical protein 	
CNAG_03142	C. neoformans var. grubii H99	CneoH99_Chr08: 172,865 - 173,570 (-)	conserved hypothetical protein 	
CNAG_03143	C. neoformans var. grubii H99	CneoH99_Chr08: 174,244 - 174,742 (+)	conserved hypothetical protein 	
CNAG_03144	C. neoformans var. grubii H99	CneoH99_Chr08: 175,142 - 176,168 (-)	protein-methionine-S-oxide reductase 	
CNAG_03145	C. neoformans var. grubii H99	CneoH99_Chr08: 176,435 - 179,217 (-)	predicted protein 	
CNAG_03146	C. neoformans var. grubii H99	CneoH99_Chr08: 180,056 - 182,819 (+)	alpha-amylase 	
CNAG_03147	C. neoformans var. grubii H99	CneoH99_Chr08: 182,822 - 184,340 (-)	conserved hypothetical protein 	
CNAG_03148	C. neoformans var. grubii H99	CneoH99_Chr08: 184,799 - 189,536 (+)	nuclear condensin complex protein 	
CNAG_03149	C. neoformans var. grubii H99	CneoH99_Chr08: 189,629 - 191,898 (-)	RING-10 protein 	
CNAG_03150	C. neoformans var. grubii H99	CneoH99_Chr08: 192,767 - 194,028 (-)	flavin-adenine dinucleotide transporter 	
CNAG_03151	C. neoformans var. grubii H99	CneoH99_Chr08: 194,347 - 195,953 (+)	COP9 signalosome subunit 4 	
CNAG_03152	C. neoformans var. grubii H99	CneoH99_Chr08: 196,415 - 197,808 (-)	calcium-binding protein 	
CNAG_03153	C. neoformans var. grubii H99	CneoH99_Chr08: 198,229 - 199,434 (+)	sec14 cytosolic factor 	
CNAG_03154	C. neoformans var. grubii H99	CneoH99_Chr08: 200,430 - 201,202 (-)	conserved hypothetical protein 	
CNAG_03155	C. neoformans var. grubii H99	CneoH99_Chr08: 203,746 - 206,755 (+)	ENTH domain-containing protein 	
CNAG_03156	C. neoformans var. grubii H99	CneoH99_Chr08: 207,114 - 208,837 (-)	conserved hypothetical protein 	
CNAG_03157	C. neoformans var. grubii H99	CneoH99_Chr08: 209,174 - 211,465 (-)	conserved hypothetical protein 	
CNAG_03158	C. neoformans var. grubii H99	CneoH99_Chr08: 211,734 - 213,375 (+)	apha 1,3 mannosyl transferase 	
CNAG_03159	C. neoformans var. grubii H99	CneoH99_Chr08: 213,450 - 214,403 (-)	cytoplasmic protein 	
CNAG_03160	C. neoformans var. grubii H99	CneoH99_Chr08: 214,743 - 217,557 (+)	DNA cross-link repair protein pso2/snm1 	
CNAG_03161	C. neoformans var. grubii H99	CneoH99_Chr08: 220,016 - 221,799 (+)	conserved hypothetical protein 	
CNAG_03162	C. neoformans var. grubii H99	CneoH99_Chr08: 222,376 - 223,402 (-)	vacuolar protein 	
CNAG_03163	C. neoformans var. grubii H99	CneoH99_Chr08: 224,719 - 227,251 (+)	conserved hypothetical protein 	
CNAG_03164	C. neoformans var. grubii H99	CneoH99_Chr08: 227,853 - 228,683 (+)	conserved hypothetical protein 	
CNAG_03165	C. neoformans var. grubii H99	CneoH99_Chr08: 229,287 - 229,840 (-)	conserved hypothetical protein 	
CNAG_03166	C. neoformans var. grubii H99	CneoH99_Chr08: 230,608 - 231,218 (-)	conserved hypothetical protein 	
CNAG_03167	C. neoformans var. grubii H99	CneoH99_Chr08: 231,422 - 233,490 (+)	CAMK/CAMKL/CHK1 protein kinase 	
CNAG_03168	C. neoformans var. grubii H99	CneoH99_Chr08: 233,567 - 237,032 (-)	sulfite reductase 	
CNAG_03169	C. neoformans var. grubii H99	CneoH99_Chr08: 237,276 - 238,516 (-)	conserved hypothetical protein 	
CNAG_03170	C. neoformans var. grubii H99	CneoH99_Chr08: 239,897 - 241,624 (+)	conserved hypothetical protein 	
CNAG_03171	C. neoformans var. grubii H99	CneoH99_Chr08: 241,609 - 245,650 (-)	other/WEE protein kinase 	
CNAG_03172	C. neoformans var. grubii H99	CneoH99_Chr08: 246,041 - 247,514 (-)	conserved hypothetical protein 	
CNAG_03173	C. neoformans var. grubii H99	CneoH99_Chr08: 249,482 - 253,946 (+)	conserved hypothetical protein 	
CNAG_03174	C. neoformans var. grubii H99	CneoH99_Chr08: 253,961 - 254,961 (-)	phosphopantetheinyl transferase 	
CNAG_03175	C. neoformans var. grubii H99	CneoH99_Chr08: 255,118 - 256,764 (+)	conserved hypothetical protein 	
CNAG_03176	C. neoformans var. grubii H99	CneoH99_Chr08: 256,842 - 259,090 (-)	endoplasmic oxidoreductin 1 	
CNAG_03177	C. neoformans var. grubii H99	CneoH99_Chr08: 259,791 - 262,491 (-)	conserved hypothetical protein 	
CNAG_03178	C. neoformans var. grubii H99	CneoH99_Chr08: 267,785 - 268,448 (+)	conserved hypothetical protein 	
CNAG_03179	C. neoformans var. grubii H99	CneoH99_Chr08: 269,321 - 270,516 (+)	conserved hypothetical protein 	
CNAG_03181	C. neoformans var. grubii H99	CneoH99_Chr08: 273,250 - 275,272 (-)	conserved hypothetical protein 	
CNAG_03182	C. neoformans var. grubii H99	CneoH99_Chr08: 275,757 - 276,765 (+)	conserved hypothetical protein 	
CNAG_03183	C. neoformans var. grubii H99	CneoH99_Chr08: 276,892 - 280,428 (-)	nuclear protein 	
CNAG_03184	C. neoformans var. grubii H99	CneoH99_Chr08: 280,927 - 285,013 (+)	other/BUB protein kinase 	
CNAG_03185	C. neoformans var. grubii H99	CneoH99_Chr08: 285,490 - 286,131 (+)	low temperature-responsive protein 	
CNAG_03186	C. neoformans var. grubii H99	CneoH99_Chr08: 286,605 - 288,015 (+)	conserved hypothetical protein 	
CNAG_03187	C. neoformans var. grubii H99	CneoH99_Chr08: 288,350 - 290,046 (+)	protoporphyrinogen oxidase 	
CNAG_03188	C. neoformans var. grubii H99	CneoH99_Chr08: 290,291 - 293,439 (-)	histone-lysine N-methyltransferase 	
CNAG_03189	C. neoformans var. grubii H99	CneoH99_Chr08: 293,836 - 297,480 (-)	DIL and Ankyrin domain-containing protein 	
CNAG_03190	C. neoformans var. grubii H99	CneoH99_Chr08: 299,477 - 302,318 (+)	glucose-repressible alcohol dehydrogenase transcriptional effector 	
CNAG_03191	C. neoformans var. grubii H99	CneoH99_Chr08: 302,441 - 304,945 (-)	FZR1 protein 	
CNAG_03192	C. neoformans var. grubii H99	CneoH99_Chr08: 305,514 - 307,130 (+)	conserved hypothetical protein 	
CNAG_03193	C. neoformans var. grubii H99	CneoH99_Chr08: 307,601 - 310,241 (-)	conserved hypothetical protein 	
CNAG_03194	C. neoformans var. grubii H99	CneoH99_Chr08: 311,449 - 313,101 (+)	saccharopine dehydrogenase 	
CNAG_03195	C. neoformans var. grubii H99	CneoH99_Chr08: 313,290 - 314,775 (-)	conserved hypothetical protein 	
CNAG_03196	C. neoformans var. grubii H99	CneoH99_Chr08: 315,091 - 315,867 (+)	orotate phosphoribosyltransferase 	
CNAG_03197	C. neoformans var. grubii H99	CneoH99_Chr08: 316,097 - 317,291 (+)	conserved hypothetical protein 	
CNAG_03198	C. neoformans var. grubii H99	CneoH99_Chr08: 318,155 - 319,291 (+)	40S ribosomal protein S8 	
CNAG_03199	C. neoformans var. grubii H99	CneoH99_Chr08: 319,604 - 321,414 (-)	FAD dependent oxidoreductase superfamily 	
CNAG_03202	C. neoformans var. grubii H99	CneoH99_Chr08: 330,152 - 337,338 (-)	adenylate cyclase 	
CNAG_03203	C. neoformans var. grubii H99	CneoH99_Chr08: 338,485 - 339,758 (+)	DNA polymerase epsilon p12 subunit 	
CNAG_03204	C. neoformans var. grubii H99	CneoH99_Chr08: 340,282 - 341,317 (+)	conserved hypothetical protein 	
CNAG_03205	C. neoformans var. grubii H99	CneoH99_Chr08: 341,766 - 343,799 (-)	ATP-dependent RNA helicase ROK1 	
CNAG_03206	C. neoformans var. grubii H99	CneoH99_Chr08: 343,980 - 345,549 (+)	DNA-(apurinic or apyrimidinic site) lyase 	
CNAG_03210	C. neoformans var. grubii H99	CneoH99_Chr08: 352,917 - 354,287 (+)	conserved hypothetical protein 	
CNAG_03211	C. neoformans var. grubii H99	CneoH99_Chr08: 354,766 - 355,962 (-)	conserved hypothetical protein 	
CNAG_03212	C. neoformans var. grubii H99	CneoH99_Chr08: 357,042 - 358,965 (-)	fork head domain-containing protein 	
CNAG_03213	C. neoformans var. grubii H99	CneoH99_Chr08: 359,708 - 362,204 (-)	UV-endonuclease UVE-1 	
CNAG_03214	C. neoformans var. grubii H99	CneoH99_Chr08: 362,643 - 364,835 (-)	cytoplasmic protein 	
CNAG_03215	C. neoformans var. grubii H99	CneoH99_Chr08: 365,149 - 367,469 (+)	Aqr1p 	
CNAG_03216	C. neoformans var. grubii H99	CneoH99_Chr08: 367,676 - 370,587 (-)	CAMK/CAMKL/MARK protein kinase 	
CNAG_03217	C. neoformans var. grubii H99	CneoH99_Chr08: 370,691 - 373,800 (-)	conserved hypothetical protein 	
CNAG_03220	C. neoformans var. grubii H99	CneoH99_Chr08: 377,812 - 379,759 (+)	conserved hypothetical protein 	
CNAG_03221	C. neoformans var. grubii H99	CneoH99_Chr08: 379,945 - 380,682 (-)	ribosomal protein L29.e 	
CNAG_03222	C. neoformans var. grubii H99	CneoH99_Chr08: 381,032 - 383,181 (+)	RNA lariat debranching enzyme 	
CNAG_03223	C. neoformans var. grubii H99	CneoH99_Chr08: 383,669 - 384,932 (-)	hypothetical protein 	
CNAG_03224	C. neoformans var. grubii H99	CneoH99_Chr08: 385,984 - 386,833 (-)	predicted protein 	
CNAG_03225	C. neoformans var. grubii H99	CneoH99_Chr08: 387,349 - 388,912 (-)	malate dehydrogenase 	
CNAG_03226	C. neoformans var. grubii H99	CneoH99_Chr08: 389,163 - 390,744 (-)	succinate dehydrogenase iron-sulfur subunit 	
CNAG_03227	C. neoformans var. grubii H99	CneoH99_Chr08: 392,304 - 393,371 (-)	conserved hypothetical protein 	
CNAG_03228	C. neoformans var. grubii H99	CneoH99_Chr08: 393,682 - 394,968 (+)	universal stress protein family domain-containing protein 	
CNAG_03229	C. neoformans var. grubii H99	CneoH99_Chr08: 395,211 - 396,697 (-)	specific transcriptional repressor 	
CNAG_03230	C. neoformans var. grubii H99	CneoH99_Chr08: 398,101 - 399,310 (-)	conserved hypothetical protein 	
CNAG_03231	C. neoformans var. grubii H99	CneoH99_Chr08: 400,690 - 401,360 (+)	predicted protein 	
CNAG_03232	C. neoformans var. grubii H99	CneoH99_Chr08: 402,107 - 404,139 (+)	Lactamase_B 	
CNAG_03233	C. neoformans var. grubii H99	CneoH99_Chr08: 404,318 - 405,443 (-)	conserved hypothetical protein 	
CNAG_03234	C. neoformans var. grubii H99	CneoH99_Chr08: 406,178 - 409,470 (+)	cell wall surface anchor protein 	
CNAG_03235	C. neoformans var. grubii H99	CneoH99_Chr08: 409,652 - 412,413 (-)	conserved hypothetical protein 	
CNAG_03236	C. neoformans var. grubii H99	CneoH99_Chr08: 412,721 - 413,641 (-)	AMME syndrome candidate gene 1 protein 	
CNAG_03237	C. neoformans var. grubii H99	CneoH99_Chr08: 413,875 - 414,922 (+)	conserved hypothetical protein 	
CNAG_03238	C. neoformans var. grubii H99	CneoH99_Chr08: 415,069 - 416,267 (-)	dioxygenase subfamily protein 	
CNAG_03239	C. neoformans var. grubii H99	CneoH99_Chr08: 416,572 - 419,360 (+)	conserved hypothetical protein 	
CNAG_03240	C. neoformans var. grubii H99	CneoH99_Chr08: 419,535 - 422,524 (-)	mannosyl-oligosaccharide 1,2-alpha-mannosidase 	
CNAG_03241	C. neoformans var. grubii H99	CneoH99_Chr08: 424,008 - 426,874 (-)	conserved hypothetical protein 	
CNAG_03242	C. neoformans var. grubii H99	CneoH99_Chr08: 427,551 - 429,231 (+)	peroxisomal membrane protein 	
CNAG_03243	C. neoformans var. grubii H99	CneoH99_Chr08: 430,021 - 431,585 (+)	2-nitropropane dioxygenase 	
CNAG_03244	C. neoformans var. grubii H99	CneoH99_Chr08: 432,128 - 433,554 (+)	conserved hypothetical protein 	
CNAG_03245	C. neoformans var. grubii H99	CneoH99_Chr08: 433,655 - 435,630 (-)	glucose-6-phosphate 1-dehydrogenase 	
CNAG_03246	C. neoformans var. grubii H99	CneoH99_Chr08: 437,076 - 438,563 (-)	RNA-3'-phosphate cyclase 	
CNAG_03247	C. neoformans var. grubii H99	CneoH99_Chr08: 439,081 - 443,496 (+)	sterol 3-beta-glucosyltransferase 	
CNAG_03248	C. neoformans var. grubii H99	CneoH99_Chr08: 444,440 - 446,488 (+)	rho GTPase activator 	
CNAG_03249	C. neoformans var. grubii H99	CneoH99_Chr08: 446,787 - 448,054 (+)	conserved hypothetical protein 	
CNAG_03250	C. neoformans var. grubii H99	CneoH99_Chr08: 448,137 - 448,970 (-)	conserved hypothetical protein 	
CNAG_03251	C. neoformans var. grubii H99	CneoH99_Chr08: 449,858 - 450,942 (+)	ARF small monomeric GTPase 	
CNAG_03252	C. neoformans var. grubii H99	CneoH99_Chr08: 453,515 - 454,111 (+)	conserved hypothetical protein 	
CNAG_03258	C. neoformans var. grubii H99	CneoH99_Chr08: 505,690 - 508,168 (-)	AGC-group protein kinase 	
CNAG_03259	C. neoformans var. grubii H99	CneoH99_Chr08: 509,641 - 510,069 (+)	conserved hypothetical protein 	
CNAG_03260	C. neoformans var. grubii H99	CneoH99_Chr08: 510,638 - 511,388 (-)	ribosomal protein L6 	
CNAG_03261	C. neoformans var. grubii H99	CneoH99_Chr08: 511,585 - 512,905 (+)	zinc finger protein 207 	
CNAG_03262	C. neoformans var. grubii H99	CneoH99_Chr08: 512,885 - 514,522 (-)	inositol-1(or 4)-monophosphatase 	
CNAG_03263	C. neoformans var. grubii H99	CneoH99_Chr08: 514,832 - 516,618 (+)	translation elongation factor 	
CNAG_03264	C. neoformans var. grubii H99	CneoH99_Chr08: 516,608 - 517,437 (-)	conserved hypothetical protein 	
CNAG_03265	C. neoformans var. grubii H99	CneoH99_Chr08: 517,990 - 520,901 (+)	conserved hypothetical protein 	
CNAG_03266	C. neoformans var. grubii H99	CneoH99_Chr08: 522,384 - 524,305 (-)	malate dehydrogenase 	
CNAG_03267	C. neoformans var. grubii H99	CneoH99_Chr08: 524,832 - 527,167 (-)	spliceosome associated protein 145 	
CNAG_03268	C. neoformans var. grubii H99	CneoH99_Chr08: 527,710 - 528,633 (-)	hypothetical protein 	
CNAG_03269	C. neoformans var. grubii H99	CneoH99_Chr08: 529,903 - 532,096 (-)	aldehyde dehydrogenase 	
CNAG_03270	C. neoformans var. grubii H99	CneoH99_Chr08: 532,342 - 534,381 (+)	adenylosuccinate lyase 	
CNAG_03271	C. neoformans var. grubii H99	CneoH99_Chr08: 534,390 - 536,379 (-)	pre-mRNA-splicing factor PRP46 	
CNAG_03272	C. neoformans var. grubii H99	CneoH99_Chr08: 537,344 - 538,843 (+)	conserved hypothetical protein 	
CNAG_03273	C. neoformans var. grubii H99	CneoH99_Chr08: 538,993 - 545,080 (-)	transcription initiation factor TFIId 127kD subunit 	
CNAG_03274	C. neoformans var. grubii H99	CneoH99_Chr08: 545,348 - 546,557 (+)	S-adenosylmethionine transporter 	
CNAG_03275	C. neoformans var. grubii H99	CneoH99_Chr08: 546,580 - 548,524 (-)	glutaryl-CoA dehydrogenase 	
CNAG_03276	C. neoformans var. grubii H99	CneoH99_Chr08: 548,842 - 550,326 (+)	conserved hypothetical protein 	
CNAG_03277	C. neoformans var. grubii H99	CneoH99_Chr08: 550,874 - 552,051 (+)	inositol oxygenase 	
CNAG_03279	C. neoformans var. grubii H99	CneoH99_Chr08: 554,569 - 557,160 (-)	conserved hypothetical protein 	
CNAG_03280	C. neoformans var. grubii H99	CneoH99_Chr08: 557,744 - 558,919 (+)	dihydrodipicolinate synthetase family protein 	
CNAG_03281	C. neoformans var. grubii H99	CneoH99_Chr08: 559,491 - 560,914 (-)	glycine-rich RNA binding protein 	
CNAG_03282	C. neoformans var. grubii H99	CneoH99_Chr08: 561,444 - 562,905 (+)	conserved hypothetical protein 	
CNAG_03283	C. neoformans var. grubii H99	CneoH99_Chr08: 563,405 - 564,279 (+)	60S ribosomal protein L24 	
CNAG_03284	C. neoformans var. grubii H99	CneoH99_Chr08: 564,540 - 565,998 (-)	conserved hypothetical protein 	
CNAG_03285	C. neoformans var. grubii H99	CneoH99_Chr08: 566,392 - 568,117 (+)	Smarcd1 protein 	
CNAG_03286	C. neoformans var. grubii H99	CneoH99_Chr08: 568,115 - 569,034 (-)	erp2,4 	
CNAG_03287	C. neoformans var. grubii H99	CneoH99_Chr08: 569,302 - 570,218 (+)	28 kda golgi snare protein 	
CNAG_03288	C. neoformans var. grubii H99	CneoH99_Chr08: 570,415 - 572,308 (-)	membrane protein 	
CNAG_03289	C. neoformans var. grubii H99	CneoH99_Chr08: 573,672 - 575,585 (+)	methionine aminopeptidase 2 	
CNAG_03290	C. neoformans var. grubii H99	CneoH99_Chr08: 575,740 - 577,890 (-)	STE/STE20/YSK protein kinase 	
CNAG_03291	C. neoformans var. grubii H99	CneoH99_Chr08: 578,270 - 579,320 (-)	conserved hypothetical protein 	
CNAG_03292	C. neoformans var. grubii H99	CneoH99_Chr08: 582,931 - 583,510 (-)	conserved hypothetical protein 	
CNAG_03293	C. neoformans var. grubii H99	CneoH99_Chr08: 585,122 - 585,920 (+)	conserved hypothetical protein 	
CNAG_03294	C. neoformans var. grubii H99	CneoH99_Chr08: 586,623 - 587,502 (+)	conserved hypothetical protein 	
CNAG_03295	C. neoformans var. grubii H99	CneoH99_Chr08: 589,904 - 592,678 (+)	conserved hypothetical protein 	
CNAG_03296	C. neoformans var. grubii H99	CneoH99_Chr08: 593,373 - 594,465 (+)	tyrosine specific protein phosphatase family protein 	
CNAG_03297	C. neoformans var. grubii H99	CneoH99_Chr08: 594,507 - 596,290 (-)	histone acetyltransferase type B subunit 2 	
CNAG_03298	C. neoformans var. grubii H99	CneoH99_Chr08: 596,575 - 597,423 (-)	hypothetical protein 	
CNAG_03299	C. neoformans var. grubii H99	CneoH99_Chr08: 597,594 - 601,100 (+)	coatomer beta subunit 	
CNAG_03300	C. neoformans var. grubii H99	CneoH99_Chr08: 601,409 - 602,754 (+)	RRP1B protein 	
CNAG_03301	C. neoformans var. grubii H99	CneoH99_Chr08: 602,889 - 603,462 (-)	mitochondrial import inner membrane translocase subunit TIM13 	
CNAG_03302	C. neoformans var. grubii H99	CneoH99_Chr08: 603,714 - 605,828 (+)	cytoplasmic protein 	
CNAG_03303	C. neoformans var. grubii H99	CneoH99_Chr08: 606,042 - 607,131 (+)	40s ribosomal protein s27 	
CNAG_03304	C. neoformans var. grubii H99	CneoH99_Chr08: 607,814 - 609,410 (-)	conserved hypothetical protein 	
CNAG_03305	C. neoformans var. grubii H99	CneoH99_Chr08: 609,979 - 611,893 (-)	transcriptional repressor 	
CNAG_03306	C. neoformans var. grubii H99	CneoH99_Chr08: 612,173 - 613,214 (+)	conserved hypothetical protein 	
CNAG_03307	C. neoformans var. grubii H99	CneoH99_Chr08: 613,633 - 614,099 (+)	predicted protein 	
CNAG_03308	C. neoformans var. grubii H99	CneoH99_Chr08: 615,164 - 618,499 (-)	conserved hypothetical protein 	
CNAG_03309	C. neoformans var. grubii H99	CneoH99_Chr08: 620,656 - 621,409 (-)	pre-mRNA-splicing factor CWC21 	
CNAG_03310	C. neoformans var. grubii H99	CneoH99_Chr08: 621,635 - 622,771 (+)	nicotinamide N-methyltransferase 	
CNAG_03311	C. neoformans var. grubii H99	CneoH99_Chr08: 622,794 - 624,826 (-)	hydroxymethylglutaryl-CoA synthase 	
CNAG_03312	C. neoformans var. grubii H99	CneoH99_Chr08: 624,992 - 626,033 (-)	predicted protein 	
